01действующая	01действовать
одна	один
одни	один
одним	один
одних	один
одно	один
одновременное	одновременный
одного	один
однозначного	однозначный
одноименного	одноимённый
одноименное	одноимённый
одноименном	одноимённый
одноименными	одноимённый
одноименных	одноимённый
одной	один
однократного	однократный
однократное	однократный
одном	один
одному	один
однопоточном	однопоточный
однотипными	однотипный
однотипных	однотипный
одну	один
одных	одный
одуль	одуля
ожей	ожий
ожидаемое	ожидать
ожидания	ожидание
ожиданиям	ожидание
озволяет	озволять
озвучивается	озвучиваться
озвучивания	озвучивание
оздушного	оздушный
означает	означать
означения	означение
озникновении	озникновение
оиска	оиск
ойства	ойство
ока	око
окажется	оказаться
оказывается	оказываться
оки	ока
окна	окно
окнам	окно
окнами	окно
окне	окно
окну	окно
окон	окно
оконная	оконный
оконной	оконный
оконную	оконный
оконные	оконный
оконных	оконный
окончании	окончание
окончания	окончание
окончен	окончить
окрашен	окрасить
окрашено	окрасить
окрашивается	окрашиваться
окрашивания	окрашивание
окрестности	окрестность
округлении	округление
округляются	округляться
окружающей	окружающий
окружении	окружение
окружению	окружение
окружения	окружение
октанового	октановый
окумента	окумент
окументальное	окументальный
олбца	олбец
оле	оля
олжен	олжена
олняется	олняться
оложении	оложения
оложенной	оложенна
олосовой	олосова
олучает	олучаять
ользователя	ользователь
ольшого	ольшой
оманды	оманда
омощью	омощь
ому	ома
оном	оный
онта	онт
онтекстном	онтекстный
онти	онтить
онфигурации	онфигурация
онфигурирования	онфигурирование
онченную	онченный
ообщений	ообщение
ообщения	ообщение
оординатой	оордината
оординаты	оордината
оответствует	оответствовать
оответствующей	оответствовать
опасности	опасность
опасных	опасный
оперативное	оперативный
оперативной	оперативный
оператора	оператор
операторов	оператор
оператором	оператор
оператору	оператор
операторы	оператор
операции	операция
операций	операция
операционная	операционный
операционного	операционный
операционной	операционный
операционном	операционный
операционных	операционный
операцию	операция
операциям	операция
описан	описать
описанием	описание
описании	описание
описаний	описание
описанию	описание
описания	описание
описано	описать
описывает	описывать
описываются	описываться
описывающая	описывать
описывающее	описывать
оповещения	оповещение
опорах	опора
опоре	опор
опорного	опорный
опорное	опорный
опорой	опора
опрашиваемой	опрашивать
опре	опра
опреде	опреда
определен	определить
определена	определить
определением	определение
определении	определение
определению	определение
определения	определение
определенияисокращения	определенияисокращение
определениями	определение
определенного	определённый
определенное	определённый
определенной	определённый
определенном	определённый
определенному	определённый
определенную	определённый
определенные	определённый
определенным	определённый
определенных	определённый
определено	определить
определены	определить
определяе	определяй
определяемых	определять
определяет	определять
определяется	определяться
определяют	определять
определяются	определяться
определяющ	определяющий
определяющая	определять
определяющего	определять
определяющее	определять
определяющий	определять
определяющих	определять
опроса	опрос
опросом	опрос
опции	опция
опций	опция
опционально	опциональный
опцию	опция
опытного	опытный
оработке	оработка
орбит	орбита
орбите	орбита
орбиты	орбита
организации	организация
организованноепомедальоннойархитектуре	организованноепомедальоннойархитектура
организованный	организовать
организовано	организовать
организованы	организовать
организует	организовать
ори	орь
ориентацией	ориентация
ориентации	ориентация
ориентированной	ориентировать
ориентированных	ориентировать
ориентировочные	ориентировочный
оризонтали	оризонталь
оризонтальной	оризонтальный
орию	ория
оркестрации	оркестрация
ормате	ормат
орогового	ороговой
ороговое	ороговой
орому	ором
орыми	орый
орых	орый
орядку	орядок
осадков	осадки
освобождается	освобождаться
освобождении	освобождение
осе	оса
оси	ось
оснащению	оснащение
оснащения	оснащение
осно	осный
основанием	основание
основании	основание
основания	основание
основанная	основать
основанной	основать
основе	основа
основного	основный
основное	основный
основную	основный
основные	основной
основныепеременныеконфигурацииконвейера	основныепеременныеконфигурацииконвейер
основным	основный
основными	основный
основных	основный
основу	основа
особ	особа
особенностей	особенность
особенности	особенность
особенностями	особенность
особые	особый
оставлена	оставить
оставляет	оставлять
оставляют	оставлять
оставляющие	оставлять
оставшиеся	остаться
оставшихся	остаться
остается	оставаться
осталось	остаться
остальнуюфайловуюсистемусерверанедоступной	остальнуюфайловуюсистемусерверанедоступный
остальные	остальной
остальных	остальной
останавливает	останавливать
останется	остаться
останова	останов
остановится	остановиться
остановки	остановка
остановлен	остановить
остановлена	остановить
остановлено	остановить
остановятся	остановиться
останутся	остаться
остатка	остаток
остаточно	остаточный
остаточного	остаточный
остаются	оставаться
остики	остик
остического	остический
осторожностью	осторожность
остояния	остояние
остоянной	остоянна
остроения	остроение
оступает	оступать
оступают	оступать
осуществл	осуществть
осуществляет	осуществлять
осуществляется	осуществляться
осуществлялась	осуществляться
осуществляют	осуществлять
осуществляются	осуществляться
осуществляющим	осуществлять
осциллографа	осциллограф
осциллографу	осциллограф
осям	ось
отбирает	отбирать
отбора	отбор
ответа	ответ
ответвительной	ответвительный
ответственного	ответственный
ответственное	ответственный
ответственности	ответственность
ответственным	ответственный
ответственными	ответственный
ответственных	ответственный
ответствии	ответствие
ответствует	ответствовать
ответы	ответ
отвечающее	отвечать
отвечающие	отвечать
отвечающий	отвечать
отдела	отдел
отделенные	отделённый
отделенный	отделённый
отделенных	отделённый
отделом	отдел
отдельного	отдельный
отдельной	отдельный
отдельном	отдельный
отдельному	отдельный
отдельности	отдельность
отдельную	отдельный
отдельные	отдельный
отдельным	отдельный
отдельными	отдельный
отдельных	отдельный
отделяются	отделяться
отказа	отказ
отказе	отказ
отказов	отказ
отказу	отказ
откалиброванное	откалибровать
отки	откать
отклонена	отклонить
отклонении	отклонение
отклонений	отклонение
отключен	отключить
отключена	отключить
отключения	отключение
отключенном	отключить
отключено	отключить
отключит	отключить
отключится	отключиться
откорректированные	откорректировать
откорректированы	откорректировать
откроется	открыться
откроются	открыться
открывает	открывать
открывается	открываться
открывались	открываться
открывающие	открывать
открывающиеся	открываться
открывшееся	открыться
открывшемся	открыться
открыт	открыть
открытии	открытие
открытию	открытие
открытия	открытие
открытого	открытый
открытое	открытый
открытой	открытый
открытые	открытый
открытым	открытый
открытых	открытый
отла	отёл
отладке	отладка
отладки	отладка
отладку	отладка
отладочная	отладочный
отладочной	отладочный
отладчика	отладчик
отлаживается	отлаживаться
отличается	отличаться
отличаются	отличаться
отличающихся	отличаться
отличительные	отличительный
отличным	отличный
отменен	отменный
отменены	отменить
отменит	отменить
отменится	отмениться
отмены	отмена
отменяет	отменять
отменяется	отменяться
отметками	отметка
отметке	отметка
отметки	отметка
отметку	отметка
отметок	отметка
отметьте	отметить
отмечается	отмечаться
отмеченной	отметить
отмеченные	отметить
отмечены	отметить
относительная	относительный
относительного	относительный
относительной	относительный
относительные	относительный
относится	относиться
относятся	относиться
относящееся	относиться
относящейся	относиться
относящиеся	относиться
относящихся	относиться
отношений	отношение
отношения	отношение
отобр	отобразец
отображаемая	отображать
отображаемое	отображать
отображаемом	отображать
отображаемые	отображать
отображаемых	отображать
отображает	отображать
отображается	отображаться
отображалась	отображаться
отображалось	отображаться
отображался	отображаться
отображают	отображать
отображаются	отображаться
отображающее	отображать
отображающей	отображать
отображе	отображ
отображен	отобразить
отображением	отображение
отображении	отображение
отображению	отображение
отображения	отображение
отображенных	отобразить
отображено	отобразить
отображены	отобразить
отобразилась	отобразиться
отобразится	отобразиться
отобразятся	отобразиться
оторой	отора
отором	отор
оторому	отором
оторые	оторое
отправлено	отправить
отправляемой	отправлять
отправляет	отправлять
отпускании	отпускание
отпусканию	отпускание
отпущено	отпустить
отражаются	отражаться
отражающая	отражать
отражены	отразить
отрезки	отрезок
отрицательного	отрицательный
отрицательное	отрицательный
отрицательной	отрицательный
отрицательному	отрицательный
отрицательную	отрицательный
отрицательными	отрицательный
отрицательных	отрицательный
отслеживаемого	отслеживать
отслеживаемой	отслеживать
отслеживаемые	отслеживать
отслеживаемый	отслеживать
отслеживаемых	отслеживать
отслеживаниеизмененийвбольшихфайлахидатасетаханалогичносистемеgitдляисходного	отслеживаниеизмененийвбольшихфайлахидатасетаханалогичносистемеgitдляисходный
отслеживании	отслеживание
отслеживания	отслеживание
отсортирован	отсортировать
отсортированный	отсортировать
отсутств	отсутство
отсутствии	отсутствие
отсутствия	отсутствие
отсутствует	отсутствовать
отсутствуют	отсутствовать
отсчет	отсчёт
отсчета	отсчёт
отсчетам	отсчёт
отсчетах	отсчёт
отсчетов	отсчёт
отсчеты	отсчёт
отфильтрованную	отфильтровать
отфильтрованные	отфильтровать
отфильтрованный	отфильтровать
отчет	отчёт
отчета	отчёт
отчетах	отчёт
отчете	отчёт
отчетного	отчётный
отчетный	отчётный
отчетов	отчёт
отчетом	отчёт
отчету	отчёт
отчеты	отчёт
отчётыпозапуску	отчётыпозапуск
оформлению	оформление
оформления	оформление
оформленном	оформить
оформлены	оформить
оформляет	оформлять
оформляется	оформляться
охлаждения	охлаждение
охраны	охрана
оценивается	оцениваться
оценке	оценка
оценки	оценка
оценкой	оценка
оценку	оценка
оцессе	оцесс
очевидно	очевидный
очевидное	очевидный
очевидные	очевидный
очевидным	очевидный
очередная	очередной
очередного	очередной
очередность	очерёдность
очередных	очередной
очистки	очистка
очищает	очищать
очищаются	очищаться
очищенныеиобогащённыеданные	очищенныеиобогащённыедать
очка	очко
очками	очки
очках	очки
очке	очко
ошибками	ошибка
ошибках	ошибка
ошибке	ошибка
ошибки	ошибка
ошибкой	ошибка
ошибку	ошибка
ошибок	ошибка
ошивки	ошивка
п_мин	п_мина
падающего	падать
пазов	пазовый
пазовой	пазовый
пайплайн	пайплайна
пакета	пакет
пакеты	пакет
палитрой	палитра
пальцев	палец
памяти	память
панелей	панель
панели	панель
панелью	панель
панелям	панель
панелями	панель
панелях	панель
папкам	папка
папке	папка
папки	папка
папку	папка
пар	пара
парам	пара
параме	парам
параметра	параметр
параметрам	параметр
параметрами	параметр
параметрах	параметр
параметре	параметр
параметрическая	параметрический
параметров	параметр
параметром	параметр
параметру	параметр
параметры	параметр
парковочную	парковочный
паролем	пароль
пароля	пароль
партией	партия
пару	пара
пары	пара
паспорта	паспорт
паспортами	паспорт
паспорте	паспорт
паспортные	паспортный
паспортом	паспорт
паспорту	паспорт
паузы	пауза
пектра	пектр
пектры	пектр
перации	перация
перационная	перационный
перацию	перация
первая	первый
первичного	первичный
первичной	первичный
первичные	первичный
первого	первый
первое	первый
первой	первый
первом	первый
первому	первый
первую	первый
первым	первый
первыми	первый
первых	первый
пере	перо
перебирает	перебирать
перебора	перебор
перебором	перебор
переведен	перевести
переведена	перевести
переведенные	перевести
переведены	перевести
перевода	перевод
переводе	перевод
переводит	переводить
переводы	перевод
переводят	переводить
переводятся	переводиться
перевыпуска	перевыпуск
перевыпуске	перевыпуск
перегрузке	перегрузка
переда	перёд
передаваемые	передаваемый
передает	передавать
передается	передаваться
передал	передать
передан	передать
переданных	передать
переданы	передать
передаточное	передаточный
передаточные	передаточный
передаточных	передаточный
передатчиком	передатчик
передаче	передача
передачей	передача
передачи	передача
передачу	передача
передают	передавать
передаются	передаваться
переднего	передний
перезагрузится	перезагрузиться
перезагрузке	перезагрузка
перезагрузки	перезагрузка
перезапуска	перезапуск
переименования	переименование
переименовывается	переименовываться
перейдет	перейти
перейтивкаталогпроекта	перейтивкаталогпроект
перейтивкорневойкаталогhddивыполнитьследующиекоманды	перейтивкорневойкаталогhddивыполнитьследующиекоманда
перейтивменю	перейтивменить
переключения	переключение
переключится	переключиться
перекрещенных	перекрещённый
перекрывая	перекрывать
переменная	переменный
переменного	переменный
переменное	переменный
переменной	переменный
переменную	переменный
переменные	переменный
переменныеокружения	переменныеокружение
переменным	переменный
переменных	переменный
переместив	переместить
переместится	переместиться
перемещается	перемещаться
перемещаются	перемещаться
перемещении	перемещение
перемещений	перемещение
перемещению	перемещение
перемещения	перемещение
переназначения	переназначение
перенаправляющийлокальныйпортнапортdagsterнасервере	перенаправляющийлокальныйпортнапортdagsterнасервер
перенесено	перенести
переноса	перенос
переопределена	переопределить
переполнен	переполненный
переполнением	переполнение
переполнении	переполнение
пересечении	пересечение
пересечения	пересечение
пересылает	пересылать
перетащив	перетащить
переустановки	переустановка
переустановлено	переустановить
перехода	переход
переходами	переход
переходе	переход
переходит	переходить
переходов	переход
переходом	переход
переходу	переход
переч	переча
перечислением	перечисление
перечислений	перечисление
перечисления	перечисление
перечисленные	перечисленный
перечислены	перечислить
перечисляют	перечислять
перечней	перечный
перечнем	перечень
перечни	перечень
перечню	перечень
перечня	перечень
периода	период
периодическим	периодический
периодическое	периодический
периодичностью	периодичность
периодов	период
периоду	период
периферийных	периферийный
персонала	персонал
персоналу	персонал
персональная	персональный
персональному	персональный
пециального	пециальный
печати	печать
печатные	печатный
печатью	печать
пиковое	пиковый
пиковой	пиковый
пикселя	пиксель
пикселях	пиксель
пиктог	пиктога
пиктограмм	пиктограмма
пиктограммами	пиктограмма
пиктограмму	пиктограмма
пиктограммы	пиктограмма
пиляцию	пиляция
писаний	писание
писания	писание
писка	писк
писки	писк
письме	письмо
письменного	письменный
питанием	питание
питании	питание
питания	питание
питающего	питать
плавающей	плавать
плагине	плагин
плана	план
планами	план
плане	план
планировании	планирование
планированию	планирование
планирования	планирование
планируемого	планировать
планируемые	планировать
планирует	планировать
плановая	плановый
пластин	пластина
пластины	пластина
платформ	платформа
платформами	платформа
платформе	платформа
платформой	платформа
платформу	платформа
платформы	платформа
платы	плата
плением	пление
плитуде	плитуд
плоскости	плоскость
плотная	плотный
плотности	плотность
площади	площадь
плуатационными	плуатационный
плунжерные	плунжерный
побитовая	побитовый
побитовой	побитовый
побочные	побочный
поверхности	поверхность
повлияют	повлиять
пового	повый
повом	повый
повому	повома
поворотного	поворотный
поворотом	поворот
поврежден	повредить
повтора	повтор
повторения	повторение
повтори	повторить
повторного	повторный
повторное	повторный
повторной	повторный
повторном	повторный
повторных	повторный
повторов	повтор
повторяются	повторяться
повторяющиеся	повторяться
повторяющихся	повторяться
повышения	повышение
погрешностей	погрешность
погрешности	погрешность
подается	подаваться
подаче	подача
подачи	подача
подаются	подаваться
подбирает	подбирать
подбираются	подбираться
подбора	подбор
подготавливаются	подготавливаться
подготовкаокружения	подготовкаокружение
подготовке	подготовка
подготовки	подготовка
подготовку	подготовка
подготовленный	подготовить
поддержания	поддержание
поддерживаемые	поддерживать
поддерживает	поддерживать
поддерживается	поддерживаться
поддерживаются	поддерживаться
поддержки	поддержка
поддержкой	поддержка
поддиапазонов	поддиапазон
подзадач	подзадача
подключаемый	подключать
подключающимисяизвнешнейсети	подключающимисяизвнешнейсеть
подключающимся	подключаться
подключен	подключить
подключена	подключить
подключениексерверу	подключениексервер
подключении	подключение
подключению	подключение
подключения	подключение
подключенного	подключить
подключенные	подключить
подключенный	подключить
подключенным	подключить
подключенными	подключить
подключенных	подключить
подключено	подключить
подключены	подключить
подлежат	подлежать
подлежащая	подлежать
подлежащие	подлежащее
подлежащих	подлежащее
подобная	подобный
подобъектов	подобъект
подписанное	подписать
подписанные	подписать
подписываются	подписываться
подпунктом	подпункт
подраздела	подраздел
подразделах	подраздел
подразделе	подраздел
подразделении	подразделение
подразделом	подраздел
подразделу	подраздел
подразделы	подраздел
подробнее	подробный
подробного	подробный
подробностью	подробность
подробностям	подробность
подробных	подробный
подсказки	подсказка
подсказывает	подсказывать
подставляет	подставлять
подстановочная	подстановочный
подстройки	подстройка
подстрок	подстрока
подстроки	подстрока
подстроку	подстрока
подсчётзаписейпотаблицам	подсчётзаписейпотаблица
подтверждается	подтверждаться
подтверждающие	подтверждать
подтвержден	подтвердить
подтверждении	подтверждение
подтверждения	подтверждение
подтверждено	подтвердить
подходящих	подходящий
подчеркивание	подчёркивание
подчеркивания	подчёркивание
подчиненные	подчинённый
подшипника	подшипник
подшипнике	подшипник
подшипников	подшипник
подшипниковой	подшипниковый
пожеланий	пожелание
пожелания	пожелание
поз	поза
позволяет	позволять
позволяют	позволять
позволяющая	позволять
позволяющий	позволять
позволяющую	позволять
пози	позить
позиц	позица
позицией	позиция
позиции	позиция
позиционировании	позиционирование
позиционирования	позиционирование
позиционируется	позиционироваться
позицию	позиция
позициях	позиция
поиска	поиск
поиске	поиск
поиском	поиск
показания	показание
показано	показать
показателем	показатель
показатели	показатель
показателя	показатель
показателям	показатель
показывает	показывать
поколения	поколение
покоя	покой
покупателей	покупатель
полезного	полезный
полезным	полезный
полей	поле
ползунка	ползунок
ползунного	ползунный
ползунных	ползунный
полиномиальная	полиномиальный
полного	полный
полное	полный
полной	полный
полном	полный
полнотой	полнота
полноты	полнота
полную	полный
полным	полный
полных	полный
полняется	полняться
положением	положение
положении	положение
положению	положение
положения	положение
положительного	положительный
положительной	положительный
положительному	положительный
положительную	положительный
положительными	положительный
положительных	положительный
полосе	полоса
полосового	полосовой
полосы	полоса
полутона	полутон
получаемая	получать
получаемые	получать
получаемых	получать
получает	получать
получают	получать
получениеданныхнаразметку	получениеданныхнаразмётка
получении	получение
получения	получение
полученного	получить
полученное	получить
полученные	получить
полученный	получить
полученным	получить
полученными	получить
полученных	получить
получено	получить
получены	получить
пользо	пользый
пользователей	пользователь
пользователем	пользователь
пользовательских	пользовательский
пользовательского	пользовательский
пользовательскому	пользовательский
пользователю	пользователь
пользователя	пользователь
пользователям	пользователь
пользователями	пользователь
пользуется	пользоваться
пользуя	пользовать
полю	поле
полюсов	полюс
поля	поле
полям	поле
полями	поле
полярной	полярный
полярности	полярность
полярные	полярный
полярных	полярный
полях	поле
помещает	помещать
помещается	помещаться
помещалось	помещаться
помещают	помещать
помещаются	помещаться
помощи	помощь
помощью	помощь
понимается	пониматься
понимания	понимание
попадают	попадать
попытки	попытка
попыток	попытка
пор	пора
порога	порог
порогов	порог
порогового	пороговый
пороговое	пороговый
пороговому	пороговый
пороговые	пороговый
пороговыми	пороговый
пороговых	пороговый
порта	порт
порту	порт
порты	порт
поршневая	поршневой
поршневого	поршневой
поршневые	поршневой
порядка	порядок
порядке	порядок
порядков	порядок
порядкового	порядковый
порядковым	порядковый
порядком	порядок
порядку	порядок
посл	послый
послевыполненияскриптовавторазметки	послевыполненияскриптовавторазмётка
последнего	последний
последнее	последний
последней	последний
последнему	последний
последние	последний
последним	последний
последних	последний
последнюю	последний
последняя	последний
последовательном	последовательный
последовательности	последовательность
последовательным	последовательный
последовательных	последовательный
последующего	последующий
последующее	последующий
последующей	последующий
последующем	последующий
послезавершенияработыотмонтироватьфайловуюсистему	послезавершенияработыотмонтироватьфайловуюсистема
послезагрузкиданныхразметчикобязансамостоятельновыполнитьфиксациюданных	послезагрузкиданныхразметчикобязансамостоятельновыполнитьфиксациюдать
послезагрузкиразмеченныхданныхпользовательобязанзафиксироватьизменения	послезагрузкиразмеченныхданныхпользовательобязанзафиксироватьизменение
поста	пост
поставке	поставка
поставки	поставка
поставкой	поставка
поставляемое	поставлять
поставляет	поставлять
поставляется	поставляться
постановки	постановка
постоянного	постоянный
постоянное	постоянный
постоянной	постоянный
постоянную	постоянный
постоянным	постоянный
построен	построить
построении	построение
построения	построение
построено	построить
поступае	поступай
поступает	поступать
поступают	поступать
поступающие	поступать
поступивших	поступить
поступлении	поступление
потенциальные	потенциальный
потере	потеря
потери	потеря
потеряны	потерять
потока	поток
потоков	поток
потокового	потоковый
потоковое	потоковый
потоковом	потоковый
потоком	поток
потребителю	потребитель
потребителя	потребитель
потребуется	потребоваться
поумолчаниюондоступен	поумолчаниюондоступный
почте	почта
почтовой	почтовый
почту	почта
почты	почта
пошагового	пошаговый
пошаговое	пошаговый
пошаговом	пошаговый
появившемся	появиться
появится	появиться
появлении	появление
появления	появление
появляется	появляться
появляющихся	появляться
пояснительная	пояснительный
поясняющее	пояснять
поясняющие	пояснять
ппарат	ппаратый
ппредназначено	ппредназначить
прав	право
права	право
правам	право
правами	право
правее	правый
правил	правило
правила	правило
правилам	правило
правилами	правило
правилах	правило
правилу	правило
правильного	правильный
правильности	правильность
правлением	правление
правого	правый
правое	правый
правой	правый
правом	право
правому	правый
практике	практика
пре	пра
преамбулу	преамбула
превышает	превышать
превышают	превышать
превышен	превысить
превышена	превысить
превышении	превышение
превышения	превышение
предварительная	предварительный
предварительного	предварительный
предварительную	предварительный
предварительным	предварительный
пределами	предел
пределах	предел
предельного	предельный
предельные	предельный
пределяет	пределять
пределяется	пределяться
предлагаемого	предлагать
предлагаемый	предлагать
предлагает	предлагать
предложения	предложение
предложенные	предложить
предложено	предложить
предметного	предметный
предметном	предметный
предназначен	предназначить
предназначена	предназначить
предназначенная	предназначить
предназначенное	предназначить
предназначенной	предназначить
предназначенную	предназначить
предназначенный	предназначить
предназначенныйдляобработкиданныхиобучения	предназначенныйдляобработкиданныхиобучение
предназначенных	предназначить
предназначено	предназначить
предназначены	предназначить
предопределенных	предопределить
предоставления	предоставление
